%
%
%

@RELATION UCI_Congressional_Voting

@ATTRIBUTE A1	{A11,A12}
@ATTRIBUTE A2	{A21,A22}
@ATTRIBUTE A3	{A31,A32}
@ATTRIBUTE A4	{A41,A42}
@ATTRIBUTE A5	{A51,A52}
@ATTRIBUTE A6	{A61,A62}
@ATTRIBUTE A7	{A71,A72}
@ATTRIBUTE A8	{A81,A82}
@ATTRIBUTE A9	{A91,A92}
@ATTRIBUTE A10	{A101,A102}
@ATTRIBUTE A11	{A111,A112}
@ATTRIBUTE A12	{A121,A122}
@ATTRIBUTE A13	{A131,A132}
@ATTRIBUTE A14	{A141,A142}
@ATTRIBUTE A15	{A151,A152}
@ATTRIBUTE A16	{A161,A162}
@ATTRIBUTE class	{0,1}

@DATA
A12,A21,A32,A41,A51,A61,A72,A82,A92,A101,A111,A121,A131,A141,A151,A162,0
A12,A22,A32,A41,A51,A61,A72,A82,A92,A101,A111,A121,A131,A141,A152,A162,0
A11,A22,A32,A41,A51,A62,A72,A82,A92,A101,?,A121,A131,A141,A151,A162,0
A12,A21,A32,A41,A51,A61,A72,A82,A92,A102,A111,A121,A131,A141,A152,?,0
A11,A21,A31,A42,A52,A61,A72,A82,A91,A102,A111,A122,A132,A142,?,A162,1
A12,A21,A31,A42,A52,A61,A72,A81,A91,A102,A111,A121,A131,A142,A152,A162,1
A11,A21,A32,A41,A52,A62,A71,A81,A91,A101,?,A121,A132,A142,A151,A161,0
A11,A21,A31,A42,A52,A62,A71,A81,A91,A101,A111,A122,A132,A142,A152,A161,1
A11,A21,A32,A42,A52,A62,A72,A82,A91,A102,A111,A121,A131,A142,A151,A162,1
A11,A21,A31,A42,A52,A62,A71,A81,A91,A101,A111,A122,A132,A142,A151,A162,1
A11,A21,A31,A42,A52,A62,A71,A81,A91,A102,A111,A122,A132,A142,A151,A161,1
A11,A21,A32,A41,A51,A61,A72,A82,A92,A102,A111,A121,A131,A142,A151,A162,0
A12,A21,A32,A42,A52,A62,A72,A82,A91,A101,A111,A121,A131,A142,A151,?,1
A12,A21,A31,A42,A52,A62,A71,A81,A91,A102,A111,?,A132,A142,A151,A161,1
A11,A21,A31,A42,A52,A62,A71,A81,A91,A101,A111,A122,A132,A142,A151,A162,1
A11,A21,A32,A41,A51,A62,A72,A82,A92,A102,A112,A121,A131,A141,?,A162,0
A11,A21,A32,A41,A51,A62,A72,A82,A92,A102,A112,A121,A131,A141,A152,A162,0
A11,A21,A32,A41,A51,A62,?,A82,?,A102,A112,A122,A131,A142,A152,?,0
A12,A22,A32,?,A51,A62,A72,A82,A92,A101,A112,A121,A132,A141,?,A162,0
A12,A22,A32,A41,A52,A62,A71,A82,A91,A102,A112,A121,A132,A142,A152,A162,0
A12,A22,A32,A41,A52,A62,A71,A82,A91,A102,A112,A121,A132,A142,A151,?,0
A12,A21,A32,A41,?,A62,?,A82,A92,A102,A111,A121,A132,A142,A151,A162,0
A12,A21,A32,A41,A51,A62,A72,A82,A92,A102,A111,?,A131,A142,A151,A162,0
A12,A21,A32,A41,A51,A62,A72,A82,A91,A102,A112,A121,A132,A142,A152,A162,0
A12,A22,A32,A41,A51,A62,A72,A82,A92,A102,A112,A121,A132,A142,A152,A162,0
A11,A22,A32,A41,A51,A62,A72,A82,A91,A102,A112,A121,A132,A142,A151,?,0
A11,A22,A31,A42,A52,A62,?,?,A91,A102,A111,A122,?,?,?,?,1
A11,A21,A32,A42,A52,A62,A71,A81,A91,A102,A111,A122,A132,A142,A152,A162,1
A12,A22,A32,A41,A51,A62,A72,A82,A92,A102,A111,A121,?,A141,A152,?,0
A11,A22,A31,A41,A51,A61,A72,A82,A92,A102,A112,A121,A131,A141,A152,A162,0
A11,A22,A32,A41,A51,A62,A72,A82,A92,A102,A111,A121,A132,A142,A152,A162,0
A11,A21,A31,A42,A52,A61,A72,A82,A92,A102,A111,A122,A132,A142,A151,A162,1
A11,A21,?,A41,A51,A62,A72,A82,A92,A101,A111,A121,A131,A141,A152,A162,0
A11,A21,A31,A42,A52,A62,A72,A81,A91,A102,A111,A122,A132,A142,A151,A162,1
A11,A21,A31,A42,A52,A62,A71,A81,A91,A101,A111,A122,A132,A142,A151,A161,1
A11,A22,A31,A42,A52,A62,A71,A81,A91,A102,A111,A122,A132,A142,A151,?,1
A11,A21,A31,A42,A52,A62,A71,A81,A91,A102,A111,A122,A132,A142,A151,A161,1
A11,A21,A31,A42,A52,A62,A71,A81,A91,A101,A111,A122,A132,A142,A151,A161,1
A12,A21,A32,A41,A51,A62,A72,A82,A92,A101,A111,A121,A131,A142,A151,?,0
A11,A21,A31,A42,A52,A62,A71,A81,A91,A102,A111,A122,A132,A142,A151,A161,1
A12,A21,A31,A41,A51,A62,A72,A82,A92,A102,A111,A121,A131,A142,A152,A162,0
A11,A21,A31,A42,A52,A62,A71,A81,A91,A102,A111,A122,A132,A142,A152,A161,1
A11,A21,A32,A41,A51,A62,A72,A82,A92,A102,A111,A121,A132,A141,A151,A162,0
A12,A22,A32,A41,A51,A61,A72,A82,A92,A102,A111,A121,A131,A141,A152,A162,0
A11,A22,A32,A42,A52,A62,A71,A81,A91,A102,A111,A122,A132,A142,A151,A162,1
A11,A22,A31,A42,A52,A62,A72,A82,A91,A101,A112,A122,A132,A142,A152,A162,1
A11,A22,A32,A42,A52,A62,A72,?,A91,A101,A111,A121,?,?,A152,?,1
A11,A21,A31,A41,A51,A62,A71,A82,A92,A101,A112,A122,A132,A142,A152,A161,0
A12,A21,A31,A41,A51,A61,A72,A82,A92,A102,A111,A121,A131,A141,A152,A162,0
A11,A21,A32,A41,A51,A61,A72,A82,A92,A101,A111,A121,A131,A141,A152,?,0
A12,A21,A32,A41,A51,A61,A72,A82,A92,A101,A111,A121,A131,A141,A152,?,0
A11,A22,A32,A41,A51,A62,A71,A82,A92,A102,A111,A121,A132,A142,A151,A162,0
A12,A22,A32,A41,A51,A61,A72,A82,A92,A102,A111,A121,A132,A141,A151,A162,0
A12,A22,A32,A41,?,A62,A71,?,A91,A101,A112,A121,A132,A142,A151,?,0
A12,A22,A32,A41,A52,A62,A71,A82,?,A102,A111,A121,A132,A142,A151,?,0
A11,A22,A31,A42,A52,A62,A71,A81,A91,A101,A112,A122,A132,A142,A151,A161,1
A11,A22,A31,A41,A52,A62,A71,A81,?,A101,A111,A122,A132,A142,A151,A162,0
A12,A22,A31,A42,A51,A61,A72,A82,A92,A101,A112,A121,A131,A142,A151,A162,0
A11,A22,A31,A42,A52,A62,A71,A81,A91,A101,A111,A122,A132,A142,A151,A162,1
A12,A22,A32,A41,A51,A61,A72,A82,A92,A101,A112,A121,A131,A141,A151,A162,0
A12,?,A32,A41,A51,A62,A72,A82,A92,A102,A111,A121,A131,A141,A152,?,0
A11,A22,A31,A42,A52,A62,A71,A81,A91,A102,A111,A122,A132,A142,A151,A161,1
A12,?,A32,A41,A51,A61,A72,A82,A92,A101,A111,A121,A131,A141,A152,?,0
A12,A21,A32,A41,A51,A61,A72,A82,A92,A101,A112,A121,A131,A141,A152,?,0
A11,A21,A32,A41,A51,A61,A72,A82,A92,A101,A111,A121,A131,A141,A152,A162,0
A11,A22,A32,A41,A51,A62,A72,A82,?,A101,A112,A122,A131,A141,A152,A162,0
A11,A21,A31,A42,A52,A62,A71,A81,A91,A102,A112,A122,A132,A142,A151,?,1
A11,A21,A32,A41,A51,A62,A72,A82,A91,A101,A112,A121,A131,A142,?,A162,0
A12,A21,A32,A41,A51,A61,A72,A82,A92,A101,A111,A121,A131,A141,A152,A162,0
A12,A21,A32,A41,A51,A61,A72,A82,A92,A102,A111,A121,A131,A142,A152,A162,0
A12,A21,A31,A42,A52,A62,A71,A81,A91,A101,A112,A122,A132,A142,A151,A161,1
A11,A21,A31,A42,A52,A62,A71,A81,A91,A102,A112,A122,A131,A142,A151,A162,1
A11,?,A32,?,A51,A62,A72,A82,A92,A102,A112,A121,?,?,A152,A162,0
A11,A22,A32,A41,A52,?,A72,A81,A91,A102,A112,A121,A132,A141,A152,A162,0
A11,A21,A31,A42,A52,A61,A72,A81,A92,A102,A111,A121,A131,A142,A151,A162,1
A11,A21,A32,A41,A51,A61,A72,A82,A92,A102,A112,A121,A131,A141,A152,A162,0
A11,A21,A31,A42,A52,A62,A72,A81,A91,A102,A111,A122,A131,A142,A152,A162,1
A11,A21,A31,A42,A52,A62,A71,A81,A91,A102,A111,A122,A132,A142,A151,A162,1
A12,A21,A31,A42,A52,A62,A71,A81,A91,A102,A111,A122,A132,A142,A151,A161,1
A12,A21,A32,A41,A51,A61,A72,A82,A92,A102,A111,A122,A131,A141,A152,?,0
A11,A22,A32,A42,A52,A62,A72,A82,A92,A101,A111,A122,A132,A142,A151,A162,1
A11,A22,A31,A41,A51,A62,A72,A81,A92,A101,A112,A121,A131,A141,A152,A162,0
A11,A21,A32,A42,A52,A62,A72,A82,A92,A102,A111,A122,A132,A142,A152,A162,1
A11,A22,A31,A42,A51,A62,A72,A82,A92,A101,A112,A121,A132,A141,A152,?,0
A11,A21,A32,A42,A52,A62,A72,A81,A91,A102,A112,A122,A132,A142,A151,A162,1
A11,A22,A32,A41,A51,A62,A72,A82,A92,A102,A111,?,A131,A141,A152,A162,0
A12,A21,A32,A42,A51,A61,A71,A82,A92,A102,A111,A121,A131,A142,A152,A162,1
A11,A21,A31,A42,A52,A62,A71,A81,A91,A101,A111,A122,A132,A142,A151,A161,1
A11,A21,A31,A42,A52,A62,A71,A81,A91,A101,A111,A122,A132,A142,A151,A161,1
A12,A22,A32,A41,A51,A62,A72,A82,A92,A102,A112,A122,A132,A142,A151,?,0
A11,A21,A31,A42,A52,A62,A71,A81,A91,A102,?,A122,A132,A142,A151,A162,1
A12,A21,A32,A41,A51,A62,A72,A82,A92,A102,A111,A121,A132,A141,A151,A162,0
A12,A21,A32,A41,A52,A62,A72,A81,A92,A102,A111,A121,A132,A142,A151,?,0
A12,A22,A32,A41,A51,A62,A72,A82,A92,A102,A112,A122,A132,A141,A151,A162,0
A12,A22,A31,A42,A52,A62,A71,A81,A91,A102,A112,A121,A132,A141,A151,A161,1
A12,A22,A31,A42,A52,A62,A71,A81,A91,A101,A112,A121,A132,A142,A151,A162,1
A11,A22,A31,A41,A52,A62,A71,A81,A91,A102,A112,A121,A132,A142,A151,A161,0
A12,A21,A32,A41,A51,A61,A72,A82,A91,A102,A112,A121,A131,A141,A151,?,0
A12,A22,A32,A41,A52,A62,A72,A82,A91,A102,A112,A121,A131,A141,A152,?,0
A11,A22,A32,A41,A51,A62,A72,A82,A91,A102,A111,A121,A131,A141,A152,A162,0
A11,A22,A31,A42,A52,A62,A71,A81,A91,A101,A111,A121,A132,A142,A151,A162,1
A12,A22,A32,A41,?,A62,A72,A82,A91,A102,?,?,A131,A141,A152,A162,0
A12,A22,A32,A41,?,A61,A72,A82,A92,A102,A111,A121,A131,A141,A152,?,0
A11,A22,A32,A42,A52,A62,A71,A81,A91,A101,A112,A122,?,A142,A151,A161,0
A11,A22,A32,?,A52,A62,A71,A82,A91,A102,?,A121,A132,A142,?,A162,0
A11,A22,A31,A42,A52,A62,A71,A81,A91,A101,A111,A122,A132,A142,A151,A162,1
A11,A22,A31,A42,A52,A62,A71,A81,A91,A101,A112,A122,A131,A142,A151,A161,0
A12,?,A32,A41,A51,A61,A72,A82,A92,A101,A112,A121,A131,A141,A152,A162,0
A11,A22,A31,A42,A52,A62,?,?,A91,A101,?,?,A132,?,?,?,1
A11,A21,A31,A42,A52,A62,A71,A81,A91,A101,A111,A122,A132,A142,A151,A162,1
A11,A21,A31,A42,A52,A62,A71,A81,A91,A101,A111,A122,A132,A142,A151,A162,1
A12,A22,A32,A41,A51,A62,?,A82,A92,A101,A112,A121,A132,A141,A152,A162,0
A12,A22,A32,A41,A52,A62,A72,A82,A92,A102,A112,A121,A132,A142,A151,?,0
A12,A22,A31,A42,A52,A62,A71,A81,A91,A101,A112,A121,A132,A142,A151,?,0
A12,A22,A32,A41,A52,A62,A71,A82,A92,A102,A112,A121,A131,A141,A151,A162,0
A12,A22,A32,A42,A52,A62,A71,A81,A91,A101,A112,A122,A132,A142,A151,A162,0
A12,A22,A31,A41,A52,A62,A71,A81,A91,A101,A112,A122,A132,A142,A152,A161,0
A11,?,A32,A41,A52,A62,A71,A82,A91,A101,A112,A121,A131,A141,A151,?,0
A12,A22,A32,A41,A52,A62,A71,A82,A92,A101,A112,A121,A131,A142,A151,?,0
A11,A22,A32,A42,A52,A62,A71,A81,A91,A101,A111,A122,A132,A142,A151,?,0
A12,A21,A32,A41,A51,A61,A72,A82,A92,?,A112,A121,A131,A141,A152,?,0
?,?,A31,A41,?,A62,?,A81,A91,A101,A112,A122,A131,A142,A151,?,0
A12,A22,A31,A41,A51,A61,A71,A82,A92,A101,A112,A121,A131,A141,A152,A161,0
A12,A22,A31,A42,A52,A62,A71,A81,A91,A101,A112,A122,A132,A142,A151,A162,1
?,?,?,?,A51,A62,A71,A82,A92,A101,A111,A122,A132,A141,A151,?,1
A12,A22,?,?,?,A62,A71,A81,A91,A101,A112,A121,A132,A141,A151,A162,0
A12,A22,A32,?,A51,A61,A71,A82,A91,A101,A112,?,A131,A141,A152,A162,0
A12,A22,A32,A41,A52,A62,A71,A82,A91,A101,A112,A121,A132,A141,A152,A162,0
A12,A22,A31,A41,A52,?,A71,A81,A91,A101,A112,A121,A132,A142,A151,A162,0
A11,A22,A32,A41,A52,A62,A71,A82,A91,A101,A111,A121,A131,A141,A151,A162,0
A11,A22,A31,A42,?,A62,A71,A81,A91,A102,A111,A122,A132,A142,A151,A161,1
A11,A22,A31,A42,A52,A62,A71,?,A91,A101,?,?,?,A142,A151,?,1
A11,A22,A31,A42,A52,A62,A71,A81,A91,A102,A112,A122,A132,A142,A151,A161,1
?,A21,A32,A42,A51,A62,A72,A82,A92,A102,A111,A122,A131,A142,A151,A162,1
A11,A22,A31,A42,A52,A62,A71,A81,A91,A102,A111,A122,?,A142,A151,A161,1
A12,A22,A31,A42,A52,A62,A71,A81,A91,A102,A111,A122,A132,A142,A151,A162,1
A11,A21,A31,A42,A52,A62,A71,A81,A91,A101,A111,A122,A132,A142,A151,A162,1
A12,A21,A32,A41,A52,A62,A71,A81,A92,A102,A111,A121,A132,A142,A151,A162,0
A11,A21,A31,A42,A52,A62,A71,A81,A91,A101,A112,A122,A132,A142,A151,A161,0
A12,A21,A32,A41,A51,A62,A72,A82,A92,A101,A111,A122,?,A142,A152,A162,0
A11,A21,A31,A42,A52,A62,A71,A81,A91,A101,A111,A122,A132,A142,A151,A161,1
A11,A21,A31,A42,A52,A62,A71,A81,A91,A101,A112,A122,A132,A142,A151,A162,1
A12,A21,A32,A41,A51,A62,A72,A82,A92,A102,A112,A121,A131,A141,A151,A162,0
A11,A21,A31,A42,A52,A62,A71,A81,A91,A102,A111,A122,A132,A142,A151,A162,1
A12,A22,A32,A42,A52,A62,A72,A82,A91,A102,?,?,?,A142,A151,A162,1
A12,A22,A32,A41,A51,A61,A72,A82,A92,A101,A111,A121,A131,A141,A151,A162,0
A11,A22,A32,A41,A51,A62,A72,A82,?,A102,A111,A121,A131,A141,A151,A162,0
A12,A22,A31,A42,A52,A62,A71,A81,A91,A102,A111,A121,A132,A142,A151,A162,1
A12,A22,A32,A41,A51,A61,A72,A82,A92,A102,A112,A121,A132,A141,A151,A162,0
A12,A22,A32,A41,A51,A61,A72,A82,A91,A102,A111,A121,A131,A141,A151,A162,0
A12,A22,A32,A41,A51,A61,A72,A82,A92,A101,A111,A121,A131,A141,A151,A162,0
A12,A22,A32,A42,A52,A62,A72,A82,A91,A102,A111,A121,A132,A142,A151,A162,1
A11,A22,A32,A41,A52,A62,A72,A82,A91,A101,A112,A121,A132,A141,A152,A162,0
A11,A21,A32,A41,A51,A62,A72,A82,A92,A101,A112,A121,A131,A141,A152,A162,0
A11,A22,A32,A41,A51,A62,A72,A82,A92,A101,A112,A121,A131,A142,A152,A162,0
A11,A22,A32,A41,A51,?,A72,A82,A92,A102,A112,A121,?,A142,A152,A162,0
A11,A21,A32,A41,A51,A61,A72,A82,A91,A102,A112,A121,A131,A141,A152,?,0
A12,A21,A32,A41,A51,A61,A72,A82,A92,A102,A111,A121,A131,A141,A152,A162,0
A11,A21,A31,A42,A52,A62,A72,A82,A91,A102,A111,A122,A132,A142,A151,A162,1
?,?,?,A41,A51,A61,A72,A82,A92,A102,A111,A121,A132,A141,A152,A162,0
A12,A21,A32,A41,?,A61,A72,A82,A92,A102,A111,A122,A131,?,A152,A162,0
A11,A21,A32,A42,A52,A62,A71,A81,A92,A102,A111,A122,A132,A142,A151,A162,1
A11,A21,A32,A41,A51,A61,A72,A82,A92,A102,A111,A121,A131,A141,A151,A162,0
A11,?,A31,A42,A52,A62,A71,A81,A91,A101,A112,A122,A132,A142,A151,A162,1
A11,A21,A31,A42,A52,A62,?,?,?,?,A111,A122,A132,A142,A151,A162,1
A11,A22,A31,A42,A52,A62,A71,A81,A91,A102,A111,A122,A132,A142,?,A161,1
%
%
%

